"","id","nsib79","afqtrev","urban14","male","mfinc1617","black","hisp","mhsgrad","mscoll","fhsgrad","fscoll","intact","mfinc1617q1","mfinc1617q2","mfinc1617q3","mfinc1617q4","mfinc1617q","afqtq1","afqtq2","afqtq3","afqtq4","afqtq","momageatbirth","dob62","dob63","dob64","hgc2122","hga2122","Dhgacoll2122","Dhgacoll2223","Dhgacoll2324","Dhgchs2122","Dhgchs2223","Dhgchs2324","fedmiss"
"1",3,3,46,1,0,5.91415144766147,0,0,0,0,1,0,0,0,0,1,0,3,0,1,0,0,2,22,0,0,0,10,11,0,0,0,0,0,0,0
"2",4,3,48,1,0,5.91415144766147,0,0,0,0,1,0,0,0,0,1,0,3,0,0,1,0,3,23,1,0,0,13,14,1,1,1,1,1,1,0
"3",7,1,35,1,1,6.2070851277533,0,0,1,0,1,0,0,0,0,1,0,3,0,1,0,0,2,18,0,0,1,12,13,1,1,1,1,1,1,0
"4",9,4,51,1,1,5.32289339207048,0,0,1,0,0,0,0,0,0,1,0,3,0,0,1,0,3,30,0,1,0,12,13,1,1,1,1,1,1,0
"5",14,2,92,1,0,2.7168281938326,0,0,1,0,1,0,1,1,0,0,0,1,0,0,0,1,4,33,0,1,0,15,16,1,1,1,1,1,1,0
"6",15,1,69,1,1,5.37068493054285,0,0,1,0,1,0,1,0,0,1,0,3,0,0,0,1,4,28,0,0,1,14,15,1,1,1,1,1,1,0
"7",21,2,94,1,0,10.56570155902,0,0,1,0,1,1,1,0,0,0,1,4,0,0,0,1,4,28,0,0,0,15,16,1,1,1,1,1,1,0
"8",22,1,84,1,0,2.62634285077951,0,0,1,0,1,0,1,1,0,0,0,1,0,0,0,1,4,37,0,1,0,16,16,1,1,1,1,1,1,0
"9",26,2,96,1,1,7.52013808463252,0,0,1,1,1,1,0,0,0,0,1,4,0,0,0,1,4,24,1,0,0,14,15,1,1,1,1,1,1,0
"10",28,1,93,1,0,4.55225462555066,0,0,1,1,1,1,1,0,1,0,0,2,0,0,0,1,4,27,0,0,1,11,11,0,0,0,0,0,0,0
"11",35,5,44,0,0,3.55538766519824,0,0,1,0,1,0,0,0,1,0,0,2,0,0,1,0,3,42,0,1,0,13,14,1,1,1,1,1,1,0
"12",38,4,13,1,0,9.77327394209354,0,0,1,0,1,0,1,0,0,0,1,4,1,0,0,0,1,34,1,0,0,12,12,0,0,0,1,1,1,0
"13",41,3,54,1,1,2.26819198218263,0,0,0,0,1,0,0,1,0,0,0,1,0,0,1,0,3,29,1,0,0,12,13,1,1,1,1,1,1,0
"14",42,1,16,1,1,6.30878854625551,0,0,1,1,1,0,1,0,0,1,0,3,1,0,0,0,1,24,0,1,0,12,13,1,1,1,1,1,1,0
"15",44,4,37,1,0,7.92427616926503,0,0,1,0,1,0,1,0,0,0,1,4,0,1,0,0,2,29,0,0,0,12,12,0,0,0,1,1,1,0
"16",46,0,63,1,0,7.84899554565702,0,0,1,0,1,0,0,0,0,0,1,4,0,0,1,0,3,26,1,0,0,14,15,1,1,1,1,1,1,0
