"","id","hisp","age97","momageatbirth","age98","age99","age00","age01","age02","age03","male","white","black","intact97","afqtq","afqt1","afqt2","afqt3","afqt4","cvhhlt18","msa12","hhinccat","hhinccat1","hhinccat2","hhinccat3","hhinccat4","hhnetworthcat","hhnetworthcat1","hhnetworthcat2","hhnetworthcat3","hhnetworthcat4","age04","b1980","b1981","b1982","b1983","b1984","Dhgacoll2122","Dhgc12_2122","momhs2","momcoll2","other"
"1",1,0,15,26,17,18,19,20,21,22,0,1,0,1,2,0,1,0,0,1,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,23,0,1,0,0,0,1,1,0,0,0
"2",2,1,14,19,16,17,18,19,20,21,1,0,0,0,3,0,0,1,0,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,22,0,0,1,0,0,1,1,1,1,0
"3",3,1,13,26,15,16,17,18,19,20,0,0,0,0,2,0,1,0,0,1,1,3,0,0,1,0,1,1,0,0,0,21,0,0,0,1,0,1,1,1,0,0
"4",4,1,15,33,17,18,19,20,21,22,0,0,0,0,2,0,1,0,0,1,1,1,1,0,0,0,1,1,0,0,0,23,0,1,0,0,0,0,1,1,0,0
"5",6,1,15,25,16,17,19,20,20,22,0,0,0,0,1,1,0,0,0,3,1,NA,NA,NA,NA,NA,1,1,0,0,0,23,0,0,1,0,0,0,1,1,0,0
"6",7,1,14,26,15,16,17,18,19,NA,1,0,0,0,1,1,0,0,0,3,1,NA,NA,NA,NA,NA,1,1,0,0,0,NA,0,0,0,1,0,NA,NA,1,0,0
"7",11,1,15,22,16,17,18,19,20,21,0,0,0,0,2,0,1,0,0,2,1,1,1,0,0,0,2,0,1,0,0,22,0,0,1,0,0,1,1,1,1,0
"8",13,1,12,26,13,15,16,16,18,18,1,0,0,0,3,0,0,1,0,3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,20,0,0,0,0,1,NA,NA,0,0,0
"9",15,1,15,21,15,17,18,19,20,21,0,0,0,1,2,0,1,0,0,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,22,0,0,0,1,0,1,1,1,0,0
"10",16,1,15,34,16,17,18,20,20,21,1,0,0,0,2,0,1,0,0,1,1,1,1,0,0,0,2,0,1,0,0,22,0,0,1,0,0,1,1,0,0,0
"11",17,1,15,17,17,18,19,NA,NA,NA,0,0,0,0,2,0,1,0,0,4,1,1,1,0,0,0,1,1,0,0,0,23,0,1,0,0,0,NA,NA,1,1,0
"12",18,0,15,23,16,17,19,NA,20,21,1,0,1,0,1,1,0,0,0,5,1,NA,NA,NA,NA,NA,1,1,0,0,0,23,0,0,1,0,0,0,NA,1,1,0
"13",19,0,12,26,14,15,16,18,18,19,1,0,1,0,1,1,0,0,0,5,1,NA,NA,NA,NA,NA,1,1,0,0,0,20,0,0,0,0,1,NA,NA,1,1,0
"14",20,0,16,23,17,19,20,NA,21,22,1,0,1,0,1,1,0,0,0,2,1,NA,NA,NA,NA,NA,1,1,0,0,0,24,1,0,0,0,0,0,0,0,0,0
"15",21,1,14,28,16,17,18,19,20,21,1,0,0,0,1,1,0,0,0,2,1,NA,NA,NA,NA,NA,1,1,0,0,0,22,0,0,1,0,0,1,1,1,1,0
"16",22,1,14,NA,16,17,18,19,20,21,1,0,0,0,1,1,0,0,0,1,1,NA,NA,NA,NA,NA,1,1,0,0,0,22,0,0,1,0,0,1,1,0,0,0
"17",23,1,14,32,15,16,17,18,20,21,0,0,0,0,1,1,0,0,0,2,1,NA,NA,NA,NA,NA,1,1,0,0,0,21,0,0,0,1,0,1,1,0,0,0
"18",24,1,12,16,14,15,16,17,18,19,1,0,0,0,1,1,0,0,0,4,1,NA,NA,NA,NA,NA,1,1,0,0,0,20,0,0,0,0,1,NA,NA,0,0,0
"19",25,1,13,NA,15,16,17,18,19,21,0,0,0,1,1,1,0,0,0,3,1,NA,NA,NA,NA,NA,1,1,0,0,0,21,0,0,0,1,0,1,1,1,0,0
"20",26,0,16,21,18,19,20,21,22,23,1,0,1,0,1,1,0,0,0,2,1,NA,NA,NA,NA,NA,1,1,0,0,0,24,1,0,0,0,0,0,0,1,0,0
"21",27,0,15,26,NA,18,19,20,21,22,1,0,1,0,1,1,0,0,0,4,1,NA,NA,NA,NA,NA,1,1,0,0,0,23,0,1,0,0,0,0,0,0,0,0
"22",28,0,13,18,15,16,17,18,19,20,0,0,1,0,1,1,0,0,0,2,1,1,1,0,0,0,1,1,0,0,0,21,0,0,0,1,0,1,1,1,0,0
"23",30,0,16,31,17,NA,NA,NA,NA,NA,1,1,0,1,2,0,1,0,0,1,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,1,0,0,0,NA,NA,NA,NA,0
"24",31,0,14,31,16,17,18,19,20,21,1,0,0,1,3,0,0,1,0,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,22,0,0,1,0,0,1,1,1,0,1
"25",32,0,15,25,17,18,NA,20,21,22,0,1,0,1,2,0,1,0,0,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,23,0,1,0,0,0,1,1,1,1,0
"26",33,0,16,35,18,18,19,21,22,22,0,1,0,1,4,0,0,0,1,1,1,NA,NA,NA,NA,NA,4,0,0,0,1,23,1,0,0,0,0,1,1,1,1,0
"27",34,0,12,32,14,15,16,17,18,19,0,1,0,1,2,0,1,0,0,1,1,1,1,0,0,0,2,0,1,0,0,19,0,0,0,0,1,NA,NA,1,1,0
"28",35,0,14,21,16,16,17,18,19,20,1,0,0,1,3,0,0,1,0,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,21,0,0,0,1,0,1,1,NA,NA,1
